% Model:              aln_moli_interlayer_pi_buono.mph
% Version:            COMSOL 5.4.0.295
% Date:               Aug 1 2022, 11:31
% Table:              Tabella 3 - ADMITTANCE (abs(es.Y11))
% freq (GHz)                                      d=0.05, 10*log10(abs(es.Y11))                     d=0.058621, 10*log10(abs(es.Y11))                 d=0.067241, 10*log10(abs(es.Y11))                 d=0.075862, 10*log10(abs(es.Y11))                 d=0.084483, 10*log10(abs(es.Y11))                 d=0.093103, 10*log10(abs(es.Y11))                 d=0.10172, 10*log10(abs(es.Y11))                  d=0.11034, 10*log10(abs(es.Y11))                  d=0.11897, 10*log10(abs(es.Y11))                  d=0.12759, 10*log10(abs(es.Y11))                  d=0.13621, 10*log10(abs(es.Y11))                  d=0.14483, 10*log10(abs(es.Y11))                  d=0.15345, 10*log10(abs(es.Y11))                  d=0.16207, 10*log10(abs(es.Y11))                  d=0.17069, 10*log10(abs(es.Y11))                  d=0.17931, 10*log10(abs(es.Y11))                  d=0.18793, 10*log10(abs(es.Y11))                  d=0.19655, 10*log10(abs(es.Y11))                  d=0.20517, 10*log10(abs(es.Y11))                  d=0.21379, 10*log10(abs(es.Y11))                  d=0.22241, 10*log10(abs(es.Y11))                  d=0.23103, 10*log10(abs(es.Y11))                  d=0.23966, 10*log10(abs(es.Y11))                  d=0.24828, 10*log10(abs(es.Y11))                  d=0.2569, 10*log10(abs(es.Y11))                   d=0.26552, 10*log10(abs(es.Y11))                  d=0.27414, 10*log10(abs(es.Y11))                  d=0.28276, 10*log10(abs(es.Y11))                  d=0.29138, 10*log10(abs(es.Y11))                  d=0.3, 10*log10(abs(es.Y11))
2.01001001001001                                  -17.20875988441287                                -17.206343581569243                               -17.203912271133987                               -17.201463703892763                               -17.198993062670265                               -17.19649246061706                                -17.193954630407234                               -17.191378544098164                               -17.18876837447036                                -17.18612763067921                                -17.183456677220402                               -17.180753681291495                               -17.178015905310012                               -17.175240365578198                               -17.172424047248857                               -17.169563934500342                               -17.1666569834156                                 -17.16370008393674                                -17.1606900242346                                 -17.157623459697152                               -17.154496885625566                               -17.15130661218967                                -17.148048740355634                               -17.144719137769147                               -17.14131341380031                                -17.137826893106986                               -17.134254587161596                               -17.13059116322738                                -17.12683091027545                                -17.122967701312046
2.011011011011011                                 -17.2064270135585                                 -17.204006730569503                               -17.201571343006812                               -17.199118392875622                               -17.196642755792844                               -17.1941364802381                                 -17.191592840356133                               -17.189011426243393                               -17.18639638420441                                -17.183750847637153                               -17.181074928561028                               -17.178366716906908                               -17.17562347629072                                -17.172842240855843                               -17.17002000925873                                -17.167153771216984                               -17.164240481596217                               -17.1612770241731                                 -17.158260177392307                               -17.15518658424513                                -17.152052725482502                               -17.148854894838028                               -17.145589175061808                               -17.14225141380362                                -17.138837198584945                               -17.13534183023549                                -17.131760294249318                               -17.128087229551127                               -17.12431689416484                                -17.12044312725237
2.012012012012012                                 -17.20409502048927                                -17.20167074962735                                -17.199231259096162                               -17.19677386947066                                -17.194293161898237                               -17.191781181120696                               -17.189231775635378                               -17.18664508872661                                -17.18402518702438                                -17.181374840108077                               -17.178693930701506                               -17.175980481097675                               -17.173231757222393                               -17.170444809814143                               -17.16761664974216                                -17.164744271379956                               -17.16182462783783                                -17.158854596406037                               -17.155830945603505                               -17.15275030588808                                -17.149609143353082                               -17.14640373519928                                -17.143130145864276                               -17.139784202899662                               -17.136361471866266                               -17.132857229641182                               -17.129266435601004                               -17.125583700175977                               -17.121803250267927                               -17.117918890998112
2.013013013013013                                 -17.201763904556458                               -17.199335636391964                               -17.19689201390955                                -17.19443012533433                                -17.191944275346785                               -17.18942656643502                                -17.186871442881788                               -17.18427953360479                                -17.181654780949188                               -17.178999605177008                               -17.176313681107764                               -17.17359497180707                                -17.170840746329127                               -17.16804807078979                                -17.165213967050594                               -17.16233543330648                                -17.159409420400877                               -17.156432798829297                               -17.153402326990673                               -17.15031462267451                                -17.14716613720931                                -17.143953131165826                               -17.14067165057192                                -17.137317502777695                               -17.133886231270303                               -17.130373088848707                               -17.126773008631773                               -17.123080572398187                               -17.11928997575154                                -17.115394989574646
2.014014014014014                                 -17.19943366493524                                -17.19700138817784                                -17.194553601571037                               -17.19208715219947                                -17.189596091440592                               -17.187072640067406                               -17.184511848316603                               -17.181914762389944                               -17.179285163867767                               -17.17662513999573                                -17.1739341773258                                 -17.171210187029395                               -17.168450441863005                               -17.165652022135006                               -17.162811959545138                               -17.159927255320778                               -17.156994857551517                               -17.154011629641566                               -17.15097431968068                                -17.147879532656727                               -17.144723705026394                               -17.141503080632653                               -17.138213686995513                               -17.134851311159352                               -17.13141147442358                                -17.127889405382422                               -17.124280010755662                               -17.120577843512134                               -17.11677706777971                                -17.11287142000363
2.0150150150150155                                -17.197104300605815                               -17.194668001952486                               -17.19221601585484                                -17.18974494197785                                -17.187248606452663                               -17.184719406478848                               -17.182152997691045                               -17.179550776100434                               -17.176916333568744                               -17.174251441784094                               -17.171555416976272                               -17.16882612480574                                -17.166060842101565                               -17.163256662216003                               -17.16041062559549                                -17.15751973575322                                -17.15458093756088                                -17.15159108704583                                -17.14854692180409                                -17.14544503389024                                -17.142281844782158                               -17.139053581496743                               -17.135756252947196                               -17.13238562576698                                -17.128937198952613                               -17.12540617676595                                -17.12178743938518                                -17.118075510809835                               -17.114264523513263                               -17.110348179302544
2.016016016016016                                 -17.19477581033485                                -17.192335474328193                               -17.189879250227655                               -17.187403486861584                               -17.184901817632262                               -17.182366870564845                               -17.179794896250428                               -17.177187575311514                               -17.17454828776576                                -17.17187850783022                                -17.169177397749323                               -17.166442783219907                               -17.163671945345293                               -17.16086198941146                                -17.158009963578913                               -17.155112872939497                               -17.15216765870435                                -17.14917116924866                                -17.146120131494577                               -17.14301112443312                                -17.139840554456466                               -17.136604631656553                               -17.133299346239966                               -17.12992044432306                                -17.126463402483374                               -17.122923400521618                               -17.119295291930797                               -17.115573571580423                               -17.111752340109277                               -17.107825264484212
2.017017017017017                                 -17.19244819265785                                -17.190003801558625                               -17.187543297899452                               -17.18506277942014                                -17.182555723187644                               -17.180015037520786                               -17.177437548714266                               -17.174825160204104                               -17.1721810241188                                 -17.169506335489785                               -17.16680011739961                                -17.164060160394726                               -17.161283749915416                               -17.158468002111128                               -17.15560997187922                                -17.152706665219856                               -17.14975501926088                                -17.14675187445964                                -17.14369394688832                                -17.14057780234547                                -17.13739983203068                                -17.134156229011456                               -17.130842964687123                               -17.12745576454978                                -17.123990082640827                               -17.12044107417004                                -17.11680356580049                                -17.113072023109748                               -17.109240514720646                               -17.105302672556352
2.018018018018018                                 -17.190121445862605                               -17.187672979540697                               -17.185208151881927                               -17.18272281269023                                -17.180210322247767                               -17.177663912716397                               -17.175080959270172                               -17.172463530610955                               -17.16981454025211                                -17.167134922184633                               -17.164423573741526                               -17.161678254488514                               -17.15889625415176                                -17.1560746987145                                 -17.153210648885825                               -17.150301110938308                               -17.14734301751231                                -17.144333200890685                               -17.1412683661234                                 -17.138145065688835                               -17.134959675487107                               -17.131708371461244                               -17.128387106101776                               -17.12499158416848                                -17.12151723704845                                -17.117959195229627                               -17.114312258399252                               -17.110570862679893                               -17.10672904449568                                -17.102780400521162
2.019019019019019                                 -17.187795567974366                               -17.18534300382234                                -17.182873805053564                               -17.180383580255665                               -17.177865614805906                               -17.175313501581762                               -17.172725131578893                               -17.170102686059685                               -17.167448833769015                               -17.164764265400805                               -17.162047764644665                               -17.159297063691834                               -17.15650945641073                                -17.153682077629515                               -17.150811992992864                               -17.14789620844185                                -17.144931651742684                               -17.141915146755448                               -17.138843387339204                               -17.135712912525655                               -17.132520082808472                               -17.129261056905566                               -17.12593176829635                                -17.122527900899215                               -17.11904486332774                                -17.1154777612161                                 -17.111821367128698                               -17.108070087568727                               -17.10421792657761                                -17.100258445374866
